77,425
190,950
35,155
33,190
35,166
78,390
144,1100
47,207
124,632
74,393
50,190
90,420
110,485
103,523
75,354
50,169
78,339
86,406
50,220
89,450
89,480
62,255
49,213
89,490
89,515
164,1168
117,715
133,730
32,130
89,470
89,455
124,650
114,585
89,470
50,226
85,585
134,735
40,173
85,175
94,485
85,565
89,580
124,590
89,450
110,860
89,520
71,420
236,1400
68,269
124,650
89,458
76,318
73,300
222,2200
227,1450
142,700
122,530
88,568
46,235
90,390
80,360
124,568
85,440
134,720
70,360
89,570
44,180
89,461
46,175
124,630
84,415
72,410
88,530
120,600
89,440
89,480
89,515
88,460
89,519
89,465
88,450
89,465
89,510
73,382
72,400
72,410
70,420
74,410
141,810
74,430
134,750
87,600
85,650
89,470
68,380
100,900
89,590
89,576
88,565
64,350
243,2200
58,350
64,350
77,320
77,310
170,1000
104,500
52,260
118,560
72,390
89,568
74,450
89,5110
85,590
137,730
73,378
85,600
89,440
125,680
108,455
165,1200
164,1200
116,495
119,620
175,1200
143,750
89,510
89,511
89,500
90,520
124,605
124,605
89,490
90,491
85,400
127,530
106,500
124,600
72,410
53,290
89,580
127,500
50,248
85,485
89,465
227,1350
89,520
123,630
74,320
89,480
137,670
90,450
88,460
198,1245
78,360
79,360
133,690
137,730
89,500
103,490
120,600
88,500
89,465
109,560
130,640
89,400
78,385
53,240
72,756
48,220
109,540
147,860
78,375
141,860
236,1400
89,455
245,1700
236,1400
167,1200
167,1200
73,400
147,900
89,500
89,480
169,950
140,750
47,205
101,780
134,720
86,580
72,410
74,400
89,580
133,730
236,1150
74,440
79,360
74,370
50,185
73,286.8
190,1400
120,400
89,445
72,410
120,390
78,336
50,160
45,170
178,1350
81,365
142,1100
146,960
243,2200
144,975
89,455
100,900
89,580
236,1360
140,946
88,456
170,880
49,190
100,530
32,129.5
81,440
89,480
89,530
74,440
89,500
89,440
89,580
86,580
74,400
123,650
88,500
89,560
133,720
133,730
72,410
89,520
72,380
69,245
50,235
72,365
50,190
89,520
240,1800
222,2000
89,538
189,1400
240,1650
246,2600
89,530
89,520
133,800
236,1400
89,485
152,760
89,480
76,390
105,520
145,1100
105,650
189,1350
140,950
84,450
234,1700
124,750
163,1200
145,1200
124,630
80,370
84,420
189,1400
147,630
128,750
124,650
159,1200
123,599
83,530
208,950
65,280
134,660
76,460
87,550
70,300
78,365
124,650
88,510
77,345
124,620
73,382
50,175
85,435
105,480
135,728
105,500
89,600
89,460
118,560
178,950
