73,1050
114,1380
175,2900
437,8900
251,3660
231,3416
68,650
75,530
110,780
89,1650
113,1780
152,2300
134,1750
113,2188
109,880
62,550
71,636
89,950
170,2600
127,1090
117,1400
89,1300
145,1260
330,7660
87,1200
242,3300
116,1600
62,900
113,1600
175,2500
52,772
43,658
81,565
89,1350
152,2059.23
88,1330
177,3100
437,7000
264,3800
203,3550
167,2300
435,9000
437,7500
292,6500
225,3600
202,2900
259,4800
177,2750
264,4000
153,1650
88,1080
176,3300
65,167
152,1948
330,6100
260,2900
183,2200
305,3600
101,1380
114,1380
136,980
109,810
141,1590
117,1070
88,1220
103,720
131,1600
131,1130
176,3200
109,930
155,1330
208,3200
108,1280
177,2800
88,1380
89,1280
87,1360
56,142
345,4800
85,1480
96,1100
158,2000
189,2360
136,1420
89,1580
168,1750
119,1120
89,1550
278,4900
183,2550
44,800
163,1850
139,1100
177,2600
177,2800
173,2100
89,1120
288,6900
89,1050
116,930
180,3300
346,5150
89,1550
288,6500
115,1600
220,3800
201,2200
139,1500
240,3800
156,1630
331,7500
87,1390
208,3200
90,1400
61,520
175,2800
132,1080
89,1550
89,1350
141,1590
87,1620
203,3600
90,1400
176,2900
89,1380
110,870
86,1100
113,1800
142,1850
330,5000
89,1960
437,7000
87,1260
192,2300
435,7000
88,880
135,2000
152,2500
182,1750
650,12800
158,1850
166,2500
89,1550
62,980
175,3000
89,1580
80,696
141,1300
183,2280
166,1660
261,2300
87,1300
258,4600
150,1650
125,600
87,1500
227,3500
99,560
89,1450
436,8350
168,2580
222,3380
118,1280
215,1950
117,1088
89,1680
115,1250
181,1980
250,3000
79,1076
330,7066
147,1280
108,980
62,930
113,1480
85,850
115,1230
152,2515
177,2680
71,630
62,970
89,1450
110,750
170,2050
89,1150
141,1400
89,1580
113,1700
72,520
177,1450
109,1320
90,1200
71,688
222,3200
172,2380
235,3250
131,1580
89,1300
59,980
89,1525
79,1280
89,1580
124,1100
77,750
363,5500
115,960
89,1280
135,1050
168,2650
435,6300
430,8150
78,628
152,2450
47,780
136,1050
436,6700
103,725
89,1400
127,1090
89,890
200,1380
156,1960
89,1580
89,1300
177,2300
175,2300
145,1850
88,1300
89,1450
173,2300
88,1300
168,2700
173,2250
345,5350
110,800
437,6800
164,1550
135,1500
170,2050
116,1700
146,1300
89,1300
435,7000
87,1500
113,1860
165,1600
435,7700
89,1730
165,1480
364,8600
87,1450
136,1000
136,1000
145,1300
89,1800
640,12000
113,1850
74,585
89,1630
345,5300
247,2300
264,3500
241,3550
152,2300
183,3000
278,5000
168,2800
430,8150
103,1100
115,870
115,900
156,1630
100,685
118,1880
136,1500
225,3300
119,1120
89,1650
278,4800
175,3000
89,1600
113,2188
345,5350
87,1600
210,3300
108,720
136,1450
262,2400
170,2100
125,700
113,1680
89,1280
85,850
154,2400
118,1820
435,6700
260,3800
140,1160
109,1000
70,375
261,2300
